,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019/04/24,4597 ,ソレイジア・ファーマ　普通株式,Solasia Pharma K.K.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.17%,"1,239,748 ","12,397 ",2019/04/22,1.21%,,,,,,,,,,,,
,2019/04/24,4666 ,パーク２４　普通株式,"PARK24 Co.,Ltd.",J.P. MORGAN SECURITIES PLC,25 BANK STREET CANARY WHARF LONDON E14 5JP UNITED KINGDOM REG. NO. 2711006,,,,0.00%,0 ,0 ,2019/04/16,0.58%,,,,,,,,,,,,
,2019/04/24,4666 ,パーク２４　普通株式,"PARK24 Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.49%,"766,625 ","7,666 ",2019/04/10,0.51%,,,,,,,,,,,,
,2019/04/24,4712 ,ＫｅｙＨｏｌｄｅｒ　普通株式,"KeyHolder,Inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.60%,"927,000 ","9,270 ",2019/04/23,0.21%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/25,4712 ,ＫｅｙＨｏｌｄｅｒ　普通株式,"KeyHolder,Inc.",個人,,,,,1.23%,"1,900,100 ","19,001 ",,,,,,,,,,,,,,
,2019/04/24,4751 ,サイバーエージェント　普通株式,"CyberAgent,Inc.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,0.53%,"680,769 ","6,807 ",2019/04/17,0.42%,,,,,,,,,,,,
,2019/04/24,4751 ,サイバーエージェント　普通株式,"CyberAgent,Inc.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.66%,"839,349 ","8,393 ",2019/04/22,0.69%,,,,,,,,,,,,
,2019/04/25,4751 ,サイバーエージェント　普通株式,"CyberAgent,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.83%,"1,054,400 ","10,544 ",2019/04/19,0.96%,,,,,,,,,,,,
,2019/04/24,4824 ,メディアシーク　普通株式,"MEDIASEEK,inc.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.46%,"45,200 ",452 ,2019/04/23,0.52%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,5271 ,トーヨーアサノ　普通株式,"TOYO ASANO FOUNDATION CO.,LTD.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.80%,"11,600 ",116 ,2019/02/13,0.78%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,2.14%,"4,817,500 ","48,175 ",2019/04/22,1.95%,,,,,,,,,,,,
,2019/04/24,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,2.22%,"5,001,958 ","50,019 ",2019/04/23,2.07%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.04%,"2,339,583 ","23,395 ",2019/04/23,0.90%,,,,,,,,,,,,
,2019/04/24,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,2.80%,"6,305,617 ","63,056 ",2019/04/23,2.78%,,,,,,,,,,,,
,2019/04/24,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.74%,"1,676,099 ","16,760 ",2019/04/23,0.60%,,,,,,,,,,,,
,2019/04/25,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,8.44%,"19,003,331 ","190,033 ",2019/04/24,8.15%,,,,,,,,,,,,
,2019/04/25,5301 ,東海カーボン　普通株式,"TOKAI CARBON CO.,LTD.",三菱ＵＦＪモルガン・スタンレー証券株式会社,東京都千代田区丸の内二丁目5番2号,,,,0.67%,"1,508,500 ","15,085 ",2019/04/22,0.73%,,,,,,,,,,,,
,2019/04/24,5302 ,日本カーボン　普通株式,"Nippon Carbon Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.90%,"106,607 ","1,066 ",2019/04/23,0.70%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,5302 ,日本カーボン　普通株式,"Nippon Carbon Co.,Ltd.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.93%,"110,581 ","1,105 ",2019/04/23,0.89%,,,,,,,,,,,,
,2019/04/24,5381 ,Ｍｉｐｏｘ　普通株式,Mipox Corporation,OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.73%,"88,200 ",882 ,2019/04/23,0.74%,,,,,,,,,,,,
,2019/04/24,5401 ,日本製鉄　普通株式,NIPPON STEEL CORPORATION,Barclays Bank PLC,"1 Churchill Place, London, E14 5HP, United Kingdom",,,,0.89%,"8,520,947 ","85,209 ",2019/04/01,0.90%,,,,,,,,,,,,
,2019/04/24,5423 ,東京製鐵　普通株式,"TOKYO STEEL MANUFACTURING CO.,LTD.",Integrated Core Strategies (Asia) Pte. Ltd.,"80 Raffles Place, #14-20 UOB Plaza 2, Singapore 048624",,,,0.78%,"1,211,000 ","12,110 ",2019/04/23,1.02%,,,,,,,,,,,,
,2019/04/24,5480 ,日本冶金工業　普通株式,"Nippon Yakin kogyo Co.,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.63%,"984,000 ","9,840 ",2019/04/23,0.47%,,,,,,,,,,,,
,2019/04/24,5486 ,日立金属　普通株式,"Hitachi Metals,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.47%,"2,020,693 ","20,206 ",2019/03/29,0.59%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,5541 ,大平洋金属　普通株式,"PACIFIC METALS CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.21%,"238,780 ","2,387 ",2019/04/22,1.14%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,5541 ,大平洋金属　普通株式,"PACIFIC METALS CO.,LTD.",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.77%,"151,000 ","1,510 ",2019/04/23,0.77%,,,,,,,,,,,,
,2019/04/24,5704 ,ＪＭＣ　普通株式,JMC Corporation,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.92%,"48,694 ",486 ,2019/04/17,0.87%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,5707 ,東邦亜鉛　普通株式,"Toho Zinc CO.,Ltd.",UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,0.89%,"121,710 ","1,217 ",2019/04/01,0.97%,,,,,,,,,,,,
,2019/04/24,5713 ,住友金属鉱山　普通株式,"Sumitomo Metal Mining Co.,Ltd.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.85%,"2,476,831 ","24,768 ",2019/04/18,0.83%,,,,,,,,,,,,
,2019/04/24,5955 ,ヤマシナ　普通株式,YAMASHINA CORPORATION,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.50%,"719,300 ","7,193 ",2019/04/23,0.46%,,,,,,,,,,,,
,2019/04/24,6033 ,エクストリーム　普通株式,"EXTREME CO.,LTD.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,4.02%,"218,400 ","2,184 ",2019/04/23,3.91%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,6033 ,エクストリーム　普通株式,"EXTREME CO.,LTD.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.53%,"83,500 ",835 ,2019/04/22,1.69%,,,,,,,,,,,,
,2019/04/25,6033 ,エクストリーム　普通株式,"EXTREME CO.,LTD.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.74%,"40,500 ",405 ,2019/04/23,0.64%,,,,,,,,,,,,
,2019/04/24,6044 ,三機サービス　普通株式,SANKI SERVICE CORPORATION,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.81%,"47,276 ",472 ,2019/04/23,0.72%,,,,,,,,,,,,
,2019/04/24,6047 ,Ｇｕｎｏｓｙ　普通株式,Gunosy Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.67%,"398,681 ","3,986 ",2019/04/16,1.75%,,,,,,,,,,,,
,2019/04/24,6048 ,デザインワン・ジャパン　普通株式,"DesignOne Japan,Inc.",Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,0.89%,"134,541 ","1,345 ",2019/04/22,0.71%,,,,,,,,,,,,
,2019/04/24,6067 ,インパクトホールディングス　普通株式,Impact HD Inc.,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.25%,"63,400 ",634 ,2019/04/23,1.11%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,6069 ,トレンダーズ　普通株式,"Trenders,Inc.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.59%,"44,400 ",444 ,2019/04/22,0.61%,,,,,,,,,,,,
,2019/04/24,6088 ,シグマクシス　普通株式,SIGMAXYZ Inc.,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.68%,"144,400 ","1,444 ",2019/04/12,0.78%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,6090 ,ヒューマン・メタボローム・テクノロジーズ　普通株式,"Human Metabolome Technologies,Inc.",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.58%,"33,900 ",339 ,2019/04/23,0.58%,,,,,,,,,,,,
,2019/04/24,6093 ,エスクロー・エージェント・ジャパン　普通株式,"Escrow Agent Japan,Inc.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.59%,"252,900 ","2,529 ",2019/04/17,0.60%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.57%,"316,220 ","3,162 ",2019/04/23,0.86%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,"Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,1.52%,"837,100 ","8,371 ",2019/04/23,1.47%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/24,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.73%,"403,380 ","4,033 ",2019/04/18,0.60%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.73%,"403,617 ","4,036 ",2019/04/23,0.74%,,,,,,,,,,,,
,2019/04/24,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,1.31%,"721,700 ","7,217 ",2019/04/23,1.41%,,,,,,,,,,,,
,2019/04/25,6101 ,ツガミ　普通株式,TSUGAMI CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,3.12%,"1,720,769 ","17,207 ",2019/04/24,3.09%,,,,,,,,,,,,
,2019/04/24,6141 ,ＤＭＧ森精機　普通株式,"DMG MORI CO.,LTD.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,1.09%,"1,382,125 ","13,821 ",2019/04/12,1.12%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,6141 ,ＤＭＧ森精機　普通株式,"DMG MORI CO.,LTD.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,1.48%,"1,870,879 ","18,708 ",2019/04/23,1.49%,,,,,,,,,,,,
,2019/04/25,6141 ,ＤＭＧ森精機　普通株式,"DMG MORI CO.,LTD.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,2.25%,"2,834,615 ","28,346 ",2019/04/22,2.39%,,,,,,,,,,,,
,2019/04/24,6177 ,ＡｐｐＢａｎｋ　普通株式,AppBank Inc.,UBS AG,"Bahnhofstrasse 45, 8001 Zurich, Switzerland",,,,1.30%,"102,600 ","1,026 ",2019/04/19,1.24%,,,,,,,,,,,,
,2019/04/24,6203 ,豊和工業　普通株式,"Howa Machinery,Ltd.",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,0.74%,"92,600 ",926 ,2019/04/23,0.74%,,,,,,,,,,,,
,2019/04/24,6208 ,石川製作所　普通株式,"Ishikawa Seisakusho,Ltd.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.62%,"39,600 ",396 ,2019/04/23,0.57%,,,,,,,,,,,,
,2019/04/25,6208 ,石川製作所　普通株式,"Ishikawa Seisakusho,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.09%,"69,999 ",699 ,2019/04/18,1.10%,,,,,,,,,,,,
,2019/04/24,6222 ,島精機製作所　普通株式,"SHIMA SEIKI MFG.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.63%,"231,839 ","2,318 ",2019/04/23,0.55%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6292 ,カワタ　普通株式,"KAWATA MFG. CO.,LTD.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.62%,"45,300 ",453 ,2019/04/22,0.52%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
,2019/04/25,6301 ,小松製作所　普通株式,KOMATSU LTD.,大和証券株式会社,東京都千代田区丸の内１－９－１グラントウキョウノースタワー,,,,0.99%,"9,643,100 ","96,431 ",2019/04/15,0.85%,,,,,,,,,,,,
,2019/04/24,6315 ,ＴＯＷＡ　普通株式,TOWA CORPORATION,Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.52%,"131,000 ","1,310 ",2019/04/19,0.67%,,,,,,,,,,,,
,2019/04/25,6390 ,加藤製作所　普通株式,"KATO WORKS CO.,LTD.",ＳＭＢＣ日興証券株式会社,東京都千代田区丸の内三丁目3番1号,,,,1.32%,"155,260 ","1,552 ",2019/04/23,1.27%,,,,,,,,,,,,
,2019/04/24,6432 ,竹内製作所　普通株式,"TAKEUCHI MFG.CO.,LTD.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.11%,"544,348 ","5,443 ",2019/04/22,1.28%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6494 ,ＮＦＫホールディングス　普通株式,"NFK HOLDINGS CO.,Ltd",OXAM QUANT FUND LIMITED,"HARBOUR PLACE, PO BOX 472, GRAND CAYMAN",OXFORD ASSET MANAGEMENT,"OXAM HOUSE, 6 GEORGE STREET, OXFORD, OX1 2BW, UK",OXAM QUANT FUND LIMITED,1.68%,"515,300 ","5,153 ",2019/04/23,1.68%,,,,,,,,,,,,
,2019/04/24,6506 ,安川電機　普通株式,YASKAWA Electric Corporation,MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.96%,"2,575,016 ","25,750 ",2019/04/23,0.99%,,,,,,,,,,,,
,2019/04/25,6516 ,山洋電気　普通株式,"SANYO DENKI CO.,LTD.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.56%,"72,876 ",728 ,2019/04/22,0.49%,,,,,,,,,,,,
,2019/04/24,6531 ,リファインバース　普通株式,"REFINVERSE,Inc.",Nomura International plc,"1 Angel Lane, London, EC4R 3AB, United Kingdom",,,,0.63%,"19,500 ",195 ,2019/04/23,0.58%,,,,,,,,,,,,
,2019/04/24,6541 ,グレイステクノロジー　普通株式,"GRACE TECHNOLOGY,INC.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,0.95%,"132,014 ","1,320 ",2019/04/23,0.98%,,,,,,,,,,,,
,2019/04/24,6572 ,ＲＰＡホールディングス　普通株式,"RPA Holdings,Inc.",Credit Suisse Securities (Europe) Limited,"One Cabot Square, London E14 4QJ, United Kingdom ",,,,0.66%,"180,600 ","1,806 ",2019/04/18,0.56%,SUBSEQUENT,,,,,,,,,,,
,2019/04/24,6573 ,アジャイルメディア・ネットワーク　普通株式,Agile Media Network Inc.,JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,2.23%,"46,000 ",460 ,2019/04/23,2.37%,,,,,,,,,,,,
,2019/04/24,6731 ,ピクセラ　普通株式,PIXELA CORPORATION,Evo Fund,"190 Elgin Ave. George Town, Grand Cayman KY1-9005, Cayman Islands","Evolution Japan Asset Management Co., Ltd.","New Otani Garden Court 12F, Kioicho 4-1, Chiyoda-ku , Tokyo 102-0094",Evo Fund,0.80%,"460,600 ","4,606 ",,,,,,,,,,,,,,
,2019/04/25,6731 ,ピクセラ　普通株式,PIXELA CORPORATION,Evo Fund,"190 Elgin Ave. George Town, Grand Cayman KY1-9005, Cayman Islands","Evolution Japan Asset Management Co., Ltd.","New Otani Garden Court 12F, Kioicho 4-1, Chiyoda-ku , Tokyo 102-0094",Evo Fund,0.94%,"540,600 ","5,406 ",2019/04/24,0.80%,,,,,,,,,,,,
,2019/04/25,6754 ,アンリツ　普通株式,ANRITSU CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.85%,"2,563,896 ","25,638 ",2019/04/23,1.91%,,,,,,,,,,,,
,2019/04/24,6777 ,ｓａｎｔｅｃ　普通株式,SANTEC CORPORATION,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,0.51%,"61,700 ",617 ,2019/03/28,0.41%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6786 ,ＲＶＨ　普通株式,RVH Inc.,Citigroup Global Markets Limited,"Citigroup Centre, Canada Square, Canary Wharf, London E14 5LB , UK",,,,2.99%,"578,300 ","5,783 ",2019/03/15,3.01%,,,,,,,,,,,,
,2019/04/24,6787 ,メイコー　普通株式,"Meiko Electronics Co.,Ltd.",GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.39%,"375,066 ","3,750 ",2019/04/23,1.44%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,6787 ,メイコー　普通株式,"Meiko Electronics Co.,Ltd.",モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,1.22%,"329,594 ","3,295 ",2019/04/24,1.33%,,,,,,,,,,,,
,2019/04/24,6838 ,多摩川ホールディングス　普通株式,"TAMAGAWA HOLDINGS CO.,LTD.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,0.65%,"29,200 ",292 ,2019/04/15,0.42%,,,,,,,,,,,,
,2019/04/24,6839 ,船井電機　普通株式,"FUNAI ELECTRIC CO.,LTD.",MERRILL LYNCH INTERNATIONAL,"2 KING EDWARD STREET, LONDON, EC1A 1HQ",,,,2.84%,"1,029,580 ","10,295 ",2019/04/22,2.88%,,,,,,,,,,,,
,2019/04/24,6840 ,ＡＫＩＢＡホールディングス　普通株式,"AKIBA Holdings Co.,Ltd.",JPM Securities Japan Co Ltd.,"TOKYO BUILDING,7-3, MARUNOUCHI 2-CHOME, CHIYODA-KU, TOKYO, 1006432, JAPAN",,,,1.93%,"17,800 ",178 ,2019/04/22,1.89%,,,,,,,,,,,,
,2019/04/24,6857 ,アドバンテスト　普通株式,ADVANTEST CORPORATION,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,2.40%,"4,796,298 ","47,962 ",2019/04/23,2.54%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/25,6857 ,アドバンテスト　普通株式,ADVANTEST CORPORATION,モルガン・スタンレーMUFG証券株式会社,東京都千代田区大手町一丁目９番７号大手町フィナンシャルシティサウスタワー,,,,0.66%,"1,325,370 ","13,253 ",2019/04/24,0.54%,,,,,,,,,,,,
,2019/04/24,6875 ,メガチップス　普通株式,MegaChips Corporation,GOLDMAN SACHS INTERNATIONAL,Peterborough Court 133 Fleet Street London,,,,1.54%,"354,862 ","3,548 ",2019/04/22,1.48%,顧客取引に係るヘッジポジションも含む,,,,,,,,,,,
,2019/04/24,6882 ,三社電機製作所　普通株式,"Sansha Electric Manufacturing Co.,Ltd.","Deutsche Bank Aktiengesellschaft, London 　ドイツ銀行ロンドン支店","Winchester House, 1 Great Winchester Street, London EC2N 2DB, England, UK　
  英国ロンドン市 EC2N 2DB、グレート・ウィンチェスター・ストリート 1、ウィンチェスター ハウス",,,,0.62%,"92,700 ",927 ,2019/04/09,0.52%,顧客取引のヘッジポジションを含む場合がある,,,,,,,,,,,
