Date,Stock Code,Stock Name,Aggregated Reportable Short Positions (Shares),Aggregated Reportable Short Positions (HK$)
18/04/2019,1658,PSBC,918278537,4334274695
18/04/2019,1660,ZHAOBANGJI PPT,0,0
18/04/2019,1666,TONG REN TANG,12767586,140698798
18/04/2019,1668,CHINASOUTHCITY,16372000,20792440
18/04/2019,1672,ASCLETIS-B,0,0
18/04/2019,1680,MACAU LEGEND,5044000,6456320
18/04/2019,1681,CONSUN PHARMA,3173000,16467870
18/04/2019,1686,SUNEVISION,4463545,29905752
18/04/2019,1708,SAMPLE TECH,0,0
18/04/2019,1717,AUSNUTRIA,6416000,68522880
18/04/2019,1720,PUTIAN COMM,0,0
18/04/2019,1727,HEBEI CONS,0,0
18/04/2019,1728,ZHENGTONGAUTO,137228512,650463147
18/04/2019,1765,HOPE EDU,21490000,26432700
18/04/2019,1766,CRRC,96695094,697171628
18/04/2019,1772,GANFENGLITHIUM,1788600,25219260
18/04/2019,1776,GF SEC,50402661,569550069
18/04/2019,1777,FANTASIA,13510500,21346590
18/04/2019,1778,COLOUR LIFE,9545609,56032725
18/04/2019,1787,SD GOLD,242250,4200615
18/04/2019,1788,GUOTAI JUNAN I,268089609,428943374
18/04/2019,1789,AK MEDICAL,6081118,24932584
18/04/2019,1798,DATANG RENEW,0,0
18/04/2019,1799,XINTE ENERGY,0,0
18/04/2019,1800,CHINA COMM CONS,55554424,447213113
18/04/2019,1803,BJ SPORTS & ENT,9987479,22471828
18/04/2019,1806,HUIFU PAYMENT,1106400,4735392
18/04/2019,1810,XIAOMI-W,696383161,8147682984
18/04/2019,1811,CGN NEW ENERGY,2146000,2575200
18/04/2019,1812,CHENMING PAPER,2860815,12272896
18/04/2019,1813,KWG GROUP,98245224,921540201
18/04/2019,1816,CGN POWER,415494498,905778006
18/04/2019,1818,ZHAOJIN MINING,66284256,478572328
18/04/2019,1828,DCH HOLDINGS,1069000,3100100
18/04/2019,1829,CMEC,5265971,20695266
18/04/2019,1833,PA GOODDOCTOR,32561630,1372472705
18/04/2019,1836,STELLA HOLDINGS,187639,2240410
18/04/2019,1848,CALC,1349500,12212975
18/04/2019,1862,JINGRUI HLDGS,1466000,4178100
18/04/2019,1866,CHINA XLX FERT,0,0
18/04/2019,1881,REGAL REIT,0,0
18/04/2019,1882,HAITIAN INT'L,17586458,330625410
18/04/2019,1883,CITIC TELECOM,3657000,12031530
18/04/2019,1888,KB LAMINATES,28134069,248986511
18/04/2019,1898,CHINA COAL,33543408,118408230
18/04/2019,1899,XINGDA INT'L,9956972,25191139
18/04/2019,1908,C&D INTL GROUP,838000,8380000
18/04/2019,1910,SAMSONITE,39101681,893473411
18/04/2019,1911,CR HOLDINGS,127800,2575170
18/04/2019,1913,PRADA,20498655,451995343
18/04/2019,1916,JIANGXI BANK,3130000,19875500
18/04/2019,1918,SUNAC,93967731,3923152769
18/04/2019,1919,COSCO SHIP HOLD,113021389,427220850
18/04/2019,1928,SANDS CHINA LTD,66932991,2881465263
18/04/2019,1929,CHOW TAI FOOK,9190000,80504400
18/04/2019,1958,BAIC MOTOR,87870103,550945546
18/04/2019,1963,BCQ,2599309,13386441
18/04/2019,1966,CHINA SCE GROUP,35771694,134501569
18/04/2019,1970,IMAX CHINA,4068642,89510124
18/04/2019,1972,SWIREPROPERTIES,9103191,289026314
18/04/2019,1980,TIANGE,4941269,14428505
18/04/2019,1988,MINSHENG BANK,197210815,1197069647
18/04/2019,1996,RSUN PPT,0,0
18/04/2019,1997,WHARF REIC,11217689,653991269
18/04/2019,1999,MAN WAH HLDGS,100916650,453115759
18/04/2019,2001,NEW HIGHER EDU,40098269,148363595
18/04/2019,2003,VCREDIT,147000,1342110
18/04/2019,2005,SSY GROUP,45669285,346173180
18/04/2019,2006,JINJIANG HOTELS,7434000,14868000
18/04/2019,2007,COUNTRY GARDEN,537211137,6951512113
18/04/2019,2009,BBMG,175179684,520283661
18/04/2019,2014,OZNER WATER,40833000,53491230
18/04/2019,2016,CZBANK,0,0
18/04/2019,2018,AAC TECH,75341442,4075972012
18/04/2019,2020,ANTA SPORTS,16937013,936616819
18/04/2019,2038,FIH,174179459,261269189
18/04/2019,2039,CIMC,421838,4505230
18/04/2019,2048,E-HOUSE ENT,1435800,15363060
18/04/2019,2051,51 CREDIT CARD,1169000,6581470
18/04/2019,2066,SHENGJINGBANK,0,0
18/04/2019,2098,ZALL SMARTCOM,5400000,18360000
18/04/2019,2099,CHINAGOLDINTL,98300,1051810
18/04/2019,2128,CHINA LESSO,1483000,7948880
18/04/2019,2136,LIFESTYLE CHI,8607339,24272696
18/04/2019,2139,BANK OF GANSU,0,0
18/04/2019,2186,LUYE PHARMA,149673038,1073155682
18/04/2019,2196,FOSUN PHARMA,40198392,1155703770
18/04/2019,2198,CHINA SANJIANG,1231200,2733264
18/04/2019,2202,CHINA VANKE,41791248,1349857310
18/04/2019,2208,GOLDWIND,56004201,508518145
18/04/2019,2232,CRYSTAL INTL,6230070,24671077
18/04/2019,2233,WESTCHINACEMENT,21958250,24812823
18/04/2019,2238,GAC GROUP,196791172,1971847543
18/04/2019,2255,HAICHANG HLDG,2892000,4713960
18/04/2019,2269,WUXI BIO,25541802,2049729611
18/04/2019,2280,HC GROUP,28030353,115765358
18/04/2019,2282,MGM CHINA,96815107,1591640359
18/04/2019,2283,TK GROUP HLDG,0,0
18/04/2019,2298,COSMO LADY,5502890,13702196
18/04/2019,2299,BILLION IND,0,0
18/04/2019,2303,HENGXING GOLD,0,0
18/04/2019,2313,SHENZHOU INTL,5088866,531786497
18/04/2019,2314,LEE & MAN PAPER,22457511,147321272
18/04/2019,2318,PING AN,1236394010,116839233945
18/04/2019,2319,MENGNIU DAIRY,54822790,1554226097
18/04/2019,2322,NOBLE CENTURY,1000000,690000
18/04/2019,2328,PICC P&C,92488792,865695093
18/04/2019,2329,GUORUI PPT,9870268,16779456
18/04/2019,2331,LI NING,41285755,585432006
18/04/2019,2333,GREATWALL MOTOR,632055765,4405428682
18/04/2019,2338,WEICHAI POWER,126827410,1816168511
18/04/2019,2342,COMBA,122159220,257755954
18/04/2019,2343,PACIFIC BASIN,254045657,421715791
18/04/2019,2356,DAHSING BANKING,1559082,23355048
18/04/2019,2357,AVICHINA,129075507,602782618
18/04/2019,2359,WUXI APPTEC,4301046,425588502
18/04/2019,2362,JINCHUAN INTL,45631000,36961110
18/04/2019,2378,PRU,0,0
18/04/2019,2380,CHINA POWER,101181612,208434121
18/04/2019,2382,SUNNY OPTICAL,60201808,5993089986
18/04/2019,2383,TOM GROUP,0,0
18/04/2019,2386,SINOPEC SEG,12123643,87047757
18/04/2019,2388,BOC HONG KONG,38994936,1378470988
18/04/2019,2393,YESTAR HEALTH,0,0
18/04/2019,2399,FORDOO,0,0
18/04/2019,2488,LAUNCH TECH,171500,1255380
18/04/2019,2552,HUA MEDICINE-B,1833500,13402885
18/04/2019,2588,BOC AVIATION,14824121,1014711082
18/04/2019,2600,CHALCO,194448345,651401956
18/04/2019,2601,CPIC,149593416,5063737132
18/04/2019,2607,SH PHARMA,8611768,149155822
18/04/2019,2608,SUNSHINE 100,1930000,3030100
18/04/2019,2611,GTJA,10625047,174675773
18/04/2019,2628,CHINA LIFE,133124760,2915432244
18/04/2019,2638,HKELECTRIC-SS,127005387,980481588
18/04/2019,2662,CAMSING INTL,19056434,168840005
18/04/2019,2666,UNI MEDICAL,35421680,238033690
18/04/2019,2669,CHINA OVS PPT,22698723,86482135
18/04/2019,2678,TEXHONG TEXTILE,413500,4945460
18/04/2019,2686,AAG ENERGY,0,0
18/04/2019,2688,ENN ENERGY,19845751,1494385050
18/04/2019,2689,ND PAPER,91815056,715239286
18/04/2019,2698,WEIQIAO TEXTILE,215000,698750
18/04/2019,2727,SH ELECTRIC,92879138,292569285
18/04/2019,2768,JIAYUAN INTL,87700151,328875566
18/04/2019,2777,R&F PROPERTIES,106014209,1753475017
18/04/2019,2778,CHAMPION REIT,12083414,78783859
18/04/2019,2779,CH XINHUA EDU,774000,2213640
18/04/2019,2799,CHINA HUARONG,531974721,899037278
18/04/2019,2800,TRACKER FUND,16271500,492212875
18/04/2019,2801,ISHARES CHINA,0,0
18/04/2019,2802,ISHARES EM ASIA,0,0
18/04/2019,2803,PREMIA BEDROCK,0,0
18/04/2019,2805,VANGUARDASXJP,0,0
18/04/2019,2808,EFUND CG BOND,0,0
18/04/2019,2810,PREMIAEMASEAN,0,0
18/04/2019,2811,HT CSI300 ETF,0,0
18/04/2019,2812,SAMSUNGCDRAGON,0,0
18/04/2019,2813,CAM CTPB BOND,0,0
18/04/2019,2819,ABF HK IDX ETF,0,0
18/04/2019,2821,ABF PAIF,0,0
18/04/2019,2822,CSOP A50 ETF,78013316,1218567996
18/04/2019,2823,ISHARES A50,40279300,626745908
18/04/2019,2824,LIPPO HK&M PROP,0,0
18/04/2019,2825,WISECSIHK100ETF,0,0
18/04/2019,2827,WISE CSI300 ETF,0,0
18/04/2019,2828,HSCEI ETF,2505750,297683100
18/04/2019,2832,BOSERA FA50,0,0
18/04/2019,2833,HS HSI ETF,0,0
18/04/2019,2834,ISHARESND100,0,0
18/04/2019,2836,ISHARES INDIA,0,0
18/04/2019,2838,HS FCI50 ETF,0,0
18/04/2019,2840,SPDR GOLD TRUST,0,0
18/04/2019,2843,AMUNDI A50,0,0
18/04/2019,2846,ISHARESCSI300,0,0
18/04/2019,2847,ISHARESFS100,0,0
18/04/2019,2848,TRMSCIKOREA,0,0
18/04/2019,2858,YIXIN,27606823,57422192
18/04/2019,2866,COSCO SHIP DEV,82053780,90259158
18/04/2019,2868,BJ CAPITAL LAND,21157047,67490980
18/04/2019,2869,GREENTOWN SER,33928000,236138880
18/04/2019,2877,SHINEWAY PHARM,2329803,18009377
18/04/2019,2880,DALIAN PORT,6612022,7008743
18/04/2019,2883,CHINA OILFIELD,92926902,790807936
18/04/2019,2888,STANCHART,1411160,95888322
18/04/2019,2899,ZIJIN MINING,80391280,272526439
18/04/2019,3007,TRFXIC50,0,0
18/04/2019,3008,C-SHS CSI 300,0,0
18/04/2019,3010,ISHARES AXJ,0,0
18/04/2019,3012,AMUNDI HK35,0,0
18/04/2019,3015,X TRNIFTY50,0,0
18/04/2019,3016,TRMSCIPHIL,0,0
18/04/2019,3019,X TRMSCIWORLD,0,0
18/04/2019,3020,X TRMSCIUSA,0,0
18/04/2019,3023,PA AI&ROBOTICS,0,0
18/04/2019,3024,WISE SSE50ETF,0,0
18/04/2019,3027,X TRMSCIRUSSIA,0,0
18/04/2019,3036,TRMSCITAIWAN,0,0
18/04/2019,3040,MR MSCI CN ETF,0,0
18/04/2019,3041,VALUE KOREA ETF,0,0
18/04/2019,3043,TRMSCIPACEXJ,0,0
18/04/2019,3046,VALUE CHINA ETF,0,0
18/04/2019,3048,TRMSCIBRAZIL,0,0
18/04/2019,3049,X TRCSI300,0,0
18/04/2019,3053,CSOP HKD MM,0,0
18/04/2019,3055,TRMSCICHINA,0,0
18/04/2019,3060,VALUE TW ETF,0,0
18/04/2019,3065,TRMSCISG,0,0
18/04/2019,3070,PING AN HKDIV,0,0
18/04/2019,3073,SPDR GREATCHINA,0,0
18/04/2019,3074,ISHARESMSCITW,0,0
18/04/2019,3079,CICC CGB,0,0
18/04/2019,3080,PING AN CGB,0,0
18/04/2019,3081,VALUEGOLD ETF,0,0
18/04/2019,3082,TRMSCIMALAY,0,0
18/04/2019,3084,VALUE JAPAN ETF,0,0
18/04/2019,3085,VANGUARDAXJHY,0,0
18/04/2019,3086,BMO NASDAQ100,0,0
18/04/2019,3087,X TRFTSEVIET,0,0
18/04/2019,3092,TRMSCITHAI,0,0
18/04/2019,3093,CICCSELECT100,0,0
18/04/2019,3095,VALUE A SHARE,0,0
18/04/2019,3096,CSOP USD MM,0,0
18/04/2019,3097,F MR OIL ETF,0,0
18/04/2019,3099,X TRMSCIINDO,0,0
18/04/2019,3100,EFUND CSI100,0,0
18/04/2019,3101,VANGUARDDVEUR,0,0
18/04/2019,3110,MR HS HDIVY ETF,0,0
18/04/2019,3115,ISHARESHSI,0,0
18/04/2019,3116,XIE GOLD MINERS,0,0
18/04/2019,3118,HGI MSCI CN A,0,0
18/04/2019,3120,EFUND CES 120,0,0
18/04/2019,3121,BMO AP REAL EST,0,0
18/04/2019,3122,CSOP CNSTBOND,0,0
18/04/2019,3126,VANGUARDJAPAN,0,0
18/04/2019,3127,MR CSI300 ETF,0,0
18/04/2019,3128,HS AINDTOPETF,0,0
18/04/2019,3129,CSOP 300SMART,0,0
18/04/2019,3135,F CSOP OIL ETF,0,0
18/04/2019,3136,HGI MSCIA50,0,0
18/04/2019,3137,CSOP CES A80,0,0
18/04/2019,3140,VANGUARDSP500,0,0
18/04/2019,3141,BMO ASIA IGB,0,0
18/04/2019,3143,BMO HK BANKS,0,0
18/04/2019,3145,BMO ASIA HIGHDV,0,0
18/04/2019,3146,ISHARESDAX,0,0
18/04/2019,3147,CSOP CHINEXT,0,0
18/04/2019,3149,CSOP MSCI,0,0
18/04/2019,3150,HGI CSI500,0,0
18/04/2019,3155,ISHARESES50,0,0
18/04/2019,3156,GFI MSCI A I,0,0
18/04/2019,3157,CAM SCSMALLCAP,0,0
18/04/2019,3160,BMO JAPAN HDG,0,0
18/04/2019,3161,XIE CHIMER ETF,0,0
18/04/2019,3163,PA MULTI-FACTOR,0,0
18/04/2019,3165,BMO EU QLTY HDG,0,0
18/04/2019,3166,PA QLTY FACTOR,0,0
18/04/2019,3167,ICBCCSOPCHINA,0,0
18/04/2019,3169,VANGUARDCHINA,0,0
18/04/2019,3170,ISHARESKS200,0,0
18/04/2019,3171,COMSTAGE DAX,0,0
18/04/2019,3173,PREMIA NEW ECON,0,0
18/04/2019,3175,F SAMSUNG OIL,0,0
18/04/2019,3177,COMSTAGE DIVDAX,0,0
18/04/2019,3180,CAM CES A80,0,0
18/04/2019,3181,PREMIAASIATEC,0,0
18/04/2019,3182,WISE NEW ECON50,0,0
18/04/2019,3186,CICCKRANECNET,0,0
18/04/2019,3188,CAM CSI300,46284299,2237845857
18/04/2019,3197,CAM MSCI AINC,0,0
18/04/2019,3198,PING AN 5HANDL,0,0
18/04/2019,3199,CSOP 5YCGBOND,0,0
18/04/2019,3301,RONSHINECHINA,4885655,55598754
18/04/2019,3306,JNBY,2008000,31565760
18/04/2019,3308,GOLDEN EAGLE,672000,6283200
18/04/2019,3309,C-MER EYE,3903000,19397910
18/04/2019,3311,CHINA STATE CON,201879595,1631187128
18/04/2019,3319,A-LIVING,5585286,72832129
18/04/2019,3320,CHINARES PHARMA,12101000,138193420
18/04/2019,3323,CNBM,139154251,1036699170
18/04/2019,3328,BANKCOMM,77843396,523107621
18/04/2019,3331,VINDA INT'L,322000,5055400
18/04/2019,3333,EVERGRANDE,318366721,8086514713
18/04/2019,3336,JU TENG INTL,3326183,7517174
18/04/2019,3337,ANTON OILFIELD,38802000,45786360
18/04/2019,3339,LONKING,31755951,90186901
18/04/2019,3360,FE HORIZON,36305655,307145841
18/04/2019,3369,QHD PORT,0,0
18/04/2019,3377,SINO-OCEAN GP,127842959,475575807
18/04/2019,3380,LOGAN PPT,60566053,782513405
18/04/2019,3382,TIANJINPORT DEV,5274000,4904820
18/04/2019,3383,AGILE GROUP,80406154,1003468802
18/04/2019,3393,WASION HOLDINGS,2286671,9261018
18/04/2019,3396,LEGENDHOLDING,6096351,131071547
18/04/2019,3606,FUYAO GLASS,15710659,479175100
18/04/2019,3613,TONGRENTANGCM,1633000,24592980
18/04/2019,3618,CQRC BANK,40431674,194880669
18/04/2019,3633,ZHONGYU GAS,7399997,55647977
18/04/2019,3639,YIDA CHINA,0,0
18/04/2019,3669,YONGDA AUTO,31687897,238609864
18/04/2019,3683,GREAT HARVEST,552500,1027650
18/04/2019,3690,MEITUAN-W,149703678,8263643026
18/04/2019,3698,HUISHANG BANK,0,0
18/04/2019,3700,INKE,22499000,44323030
18/04/2019,3709,KORADIOR,0,0
18/04/2019,3799,DALI FOODS,105985982,579743322
18/04/2019,3800,GCL-POLY ENERGY,961423880,557625850
18/04/2019,3808,SINOTRUK,188227752,3523623517
18/04/2019,3813,POU SHENG INT'L,25980600,49882752
18/04/2019,3818,CHINA DONGXIANG,38186976,45824371
18/04/2019,3836,HARMONY AUTO,32028800,97367552
18/04/2019,3866,BQD,0,0
18/04/2019,3883,CHINA AOYUAN,29772000,280154520
18/04/2019,3888,KINGSOFT,85120787,1813072763
18/04/2019,3898,CRRC TIMES ELEC,13569679,563141679
18/04/2019,3899,CIMC ENRIC,5942000,48843240
18/04/2019,3900,GREENTOWN CHINA,22266633,169894410
18/04/2019,3908,CICC,136507071,2405254591
18/04/2019,3918,NAGACORP,13931475,135971196
18/04/2019,3933,UNITED LAB,130331060,612555982
18/04/2019,3958,DFZQ,4576000,28325440
18/04/2019,3968,CM BANK,194238898,7876387314
18/04/2019,3969,CHINA CRSC,33749318,214308169
18/04/2019,3983,CHINA BLUECHEM,23932074,66770486
18/04/2019,3988,BANK OF CHINA,272591657,1038574213
18/04/2019,3993,CMOC,465108379,1562764153
18/04/2019,3996,CH ENERGY ENG,0,0
18/04/2019,3998,BOSIDENG,50422505,118997112
18/04/2019,4332,AMGEN-T,0,0
18/04/2019,4333,CISCO-T,0,0
18/04/2019,4335,INTEL-T,0,0
18/04/2019,4336,APPL MATERIAL-T,0,0
18/04/2019,4337,STARBUCKS-T,0,0
18/04/2019,4338,MICROSOFT-T,0,0
18/04/2019,6030,CITIC SEC,252365693,4542582474
18/04/2019,6058,CISI FIN,0,0
18/04/2019,6060,ZA ONLINE,34449687,986983533
18/04/2019,6066,CSC,17415500,121560190
18/04/2019,6068,WISDOM EDU INTL,4600000,21344000
18/04/2019,6088,FIT HON TENG,2965963,12842620
18/04/2019,6098,CG SERVICES,40657960,581408828
18/04/2019,6099,CMSC,1352000,15439840
18/04/2019,6100,TALENT LIEPIN,5955000,120886500
18/04/2019,6116,LA CHAPELLE,68200,303490
18/04/2019,6122,JIUTAI RCB,0,0
18/04/2019,6138,HARBIN BANK,0,0
18/04/2019,6139,JINMAO HOTEL-SS,0,0
18/04/2019,6158,ZHENRO PPT,5618000,29887760
18/04/2019,6160,BEIGENE-B,0,0
18/04/2019,6166,CHINA VAST,0,0
18/04/2019,6168,CHINA U-TON,0,0
18/04/2019,6169,YUHUA EDU,193941016,709824119
18/04/2019,6178,EB SECURITIES,4238952,33233384
18/04/2019,6190,BANKOFJIUJIANG,0,0
18/04/2019,6196,BANKOFZHENGZHOU,0,0
18/04/2019,6198,QINGDAO PORT,3859021,21147435
18/04/2019,6808,SUNART RETAIL,132937449,931891517
18/04/2019,6818,CEB BANK,67188498,260019487
18/04/2019,6823,HKT-SS,15929344,198479626
18/04/2019,6826,HAOHAI BIOTEC,625600,37004240
18/04/2019,6828,BG BLUE SKY,156308581,42203317
18/04/2019,6837,HAITONG SEC,132520136,1378209414
18/04/2019,6858,HONMAGOLF,308500,2381620
18/04/2019,6860,FINGERTANGO,0,0
18/04/2019,6862,HAIDILAO,14805000,444150000
18/04/2019,6868,TENFU,0,0
18/04/2019,6869,YOFC,26310553,570939000
18/04/2019,6878,DIFFER GROUP,0,0
18/04/2019,6881,CGS,273685265,1524426926
18/04/2019,6886,HTSC,88660926,1381337227
18/04/2019,6889,DYNAM JAPAN,0,0
18/04/2019,7200,FL2 CSOP HSI,0,0
18/04/2019,7205,FL2SAMSUNGHSI,0,0
18/04/2019,7210,XL2 XIE CHIMER,0,0
18/04/2019,7221,FL2CAMDXNHSI,0,0
18/04/2019,7228,FL2SAMSUNGHSCEI,0,0
18/04/2019,7230,FL2 MR HSCEI,0,0
18/04/2019,7231,FL2 MR HSI,0,0
18/04/2019,7242,FL2EFUND YT HSI,0,0
18/04/2019,7261,FL2CAMDXNNDQ100,0,0
18/04/2019,7267,FL2CAMDXNHSCEI,0,0
18/04/2019,7288,FL2 CSOP HSCEI,0,0
18/04/2019,7300,FI CSOP HSI,0,0
18/04/2019,7302,FI EFUND YT HSI,0,0
18/04/2019,7312,FISAMSUNGHSI,0,0
18/04/2019,7321,FICAMDXNHSI,0,0
18/04/2019,7322,XI MR S&P500,0,0
18/04/2019,7328,FISAMSUNGHSCEI,0,0
18/04/2019,7331,FICAMDXNNDQ100,0,0
18/04/2019,7336,FI MR HSI,0,0
18/04/2019,7341,FICAMDXNHSCEI,0,0
18/04/2019,7362,FI MR HSCEI,0,0
18/04/2019,7388,FI CSOP HSCEI,0,0
18/04/2019,8032,VIVA CHINA,4686976,3421492
18/04/2019,8047,CHINAOCEAN FISH,1388000,576020
18/04/2019,8057,MADISON HLDG,4760000,2903600
18/04/2019,8083,CHINA YOUZAN,175379161,110488871
18/04/2019,8137,HONBRIDGE,14098624,13675665
18/04/2019,8207,CHONGSING HLDGS,24264000,1528632
18/04/2019,8265,CHINA TRUSTFUL,0,0
18/04/2019,8279,AGTECH HOLDINGS,0,0
18/04/2019,8283,ZHENG LI HLDG,4060000,6293000
18/04/2019,8293,SINGASIA HLDG,445000,2314000
18/04/2019,8469,SHENGYE CAPITAL,1158000,7955460
18/04/2019,9010,ISHARES AXJ-U,0,0
18/04/2019,9074,ISHARESMSCITW-U,0,0
18/04/2019,9081,VALUEGOLD ETF-U,0,0
18/04/2019,9085,VANGUARDAXJHY-U,0,0
18/04/2019,9086,BMO NASDAQ100-U,0,0
18/04/2019,9096,CSOP USD MM-U,0,0
18/04/2019,9101,VANGUARDDVEUR-U,0,0
18/04/2019,9115,ISHARESHSI-U,0,0
18/04/2019,9126,VANGUARDJAPAN-U,0,0
18/04/2019,9140,VANGUARDSP500-U,0,0
18/04/2019,9141,BMO ASIA IGB-U,0,0
18/04/2019,9146,ISHARESDAX-U,0,0
18/04/2019,9155,ISHARESES50-U,0,0
18/04/2019,9167,ICBCCSOPCHINA-U,0,0
18/04/2019,9169,VANGUARDCHINA-U,0,0
18/04/2019,9170,ISHARESKS200-U,0,0
18/04/2019,9181,PREMIAASIATEC-U,0,0
18/04/2019,9186,CICCKRANECNET-U,0,0
18/04/2019,9199,CSOP 5YCGBOND-U,0,0
18/04/2019,9805,VANGUARDASXJP-U,0,0
18/04/2019,9810,PREMIAEMASEAN-U,0,0
18/04/2019,9834,ISHARESND100-U,0,0
18/04/2019,9836,ISHARES INDIA-U,0,0
18/04/2019,9846,ISHARESCSI300-U,0,0
18/04/2019,9847,ISHARESFS100-U,0,0
18/04/2019,82805,VANGUARDASXJP-R,0,0
18/04/2019,82808,EFUND CG BOND-R,0,0
18/04/2019,82811,HT CSI300 ETF-R,0,0
18/04/2019,82813,CAM CTPB BOND-R,0,0
18/04/2019,82822,CSOP A50 ETF-R,0,0
18/04/2019,82823,ISHARES A50-R,0,0
18/04/2019,82828,HSCEI ETF-R,0,0
18/04/2019,82832,BOSERA FA50-R,0,0
18/04/2019,82833,HS HSI ETF-R,0,0
18/04/2019,82834,ISHARESND100-R,0,0
18/04/2019,82836,ISHARES INDIA-R,0,0
18/04/2019,82843,AMUNDI A50-R,0,0
18/04/2019,82846,ISHARESCSI300-R,0,0
18/04/2019,82847,ISHARESFS100-R,0,0
18/04/2019,83008,C-SHS CSI 300-R,0,0
18/04/2019,83010,ISHARES AXJ-R,0,0
18/04/2019,83012,AMUNDI HK35-R,0,0
18/04/2019,83053,CSOP HKD MM-R,0,0
18/04/2019,83074,ISHARESMSCITW-R,0,0
18/04/2019,83079,CICC CGB-R,0,0
18/04/2019,83081,VALUEGOLD ETF-R,0,0
18/04/2019,83085,VANGUARDAXJHY-R,0,0
18/04/2019,83093,CICCSELECT100-R,0,0
18/04/2019,83095,VALUE A SHARE-R,0,0
18/04/2019,83100,EFUND CSI100-R,0,0
18/04/2019,83101,VANGUARDDVEUR-R,0,0
18/04/2019,83115,ISHARESHSI-R,0,0
18/04/2019,83118,HGI MSCI CN A-R,0,0
18/04/2019,83120,EFUND CES 120-R,0,0
18/04/2019,83122,CSOP CNSTBOND-R,0,0
18/04/2019,83126,VANGUARDJAPAN-R,0,0
18/04/2019,83127,MR CSI300 ETF-R,0,0
18/04/2019,83128,HS AINDTOPETF-R,0,0
18/04/2019,83129,CSOP 300SMART-R,0,0
18/04/2019,83136,HGI MSCIA50-R,0,0
18/04/2019,83137,CSOP CES A80-R,0,0
18/04/2019,83140,VANGUARDSP500-R,0,0
18/04/2019,83146,ISHARESDAX-R,0,0
18/04/2019,83147,CSOP CHINEXT-R,0,0
18/04/2019,83149,CSOP MSCI-R,0,0
18/04/2019,83150,HGI CSI500-R,0,0
18/04/2019,83155,ISHARESES50-R,0,0
18/04/2019,83156,GFI MSCI A I-R,0,0
18/04/2019,83167,ICBCCSOPCHINA-R,0,0
18/04/2019,83168,HS RMB GOLD ETF,0,0
18/04/2019,83169,VANGUARDCHINA-R,0,0
18/04/2019,83170,ISHARESKS200-R,0,0
18/04/2019,83180,CAM CES A80-R,0,0
18/04/2019,83186,CICCKRANECNET-R,0,0
18/04/2019,83188,CAM CSI300-R,116200,5569466
18/04/2019,83197,CAM MSCI AINC-R,0,0
18/04/2019,83199,CSOP 5YCGBOND-R,0,0
18/04/2019,87001,HUI XIAN REIT,0,0
